iter	Passed	Remaining
287	3127	2302
288	3138	2291
289	3146	2278
290	3156	2267
291	3164	2254
292	3174	2242
293	3182	2230
294	3192	2218
295	3200	2205
296	3210	2194
297	3217	2181
298	3233	2173
299	3242	2161
300	3254	2151
301	3264	2140
302	3274	2129
303	3287	2119
304	3300	2109
305	3310	2098
306	3321	2088
307	3332	2077
308	3345	2067
309	3354	2055
310	3365	2045
311	3377	2035
312	3387	2023
313	3394	2010
314	3404	1999
315	3413	1987
316	3423	1976
317	3432	1964
318	3440	1952
319	3451	1941
320	3459	1929
321	3469	1918
322	3478	1906
323	3487	1894
324	3494	1881
325	3504	1870
326	3511	1857
327	3521	1846
328	3531	1835
329	3540	1823
330	3551	1813
331	3559	1800
332	3569	1789
333	3578	1778
334	3591	1768
335	3601	1757
336	3610	1746
337	3619	1734
338	3627	1722
339	3639	1712
340	3647	1700
341	3655	1688
342	3663	1676
343	3672	1665
344	3682	1654
345	3696	1645
346	3708	1635
347	3720	1624
348	3731	1614
349	3739	1602
350	3749	1591
351	3761	1581
352	3770	1570
353	3781	1559
354	3790	1548
355	3799	1536
356	3808	1525
357	3816	1513
358	3830	1504
359	3839	1493
360	3847	1481
361	3853	1469
362	3865	1458
363	3874	1447
364	3885	1437
365	3894	1425
366	3908	1416
367	3920	1406
368	3929	1394
369	3941	1384
370	3952	1374
371	3962	1363
372	3973	1352
373	3985	1342
374	3995	1331
375	4008	1321
376	4020	1311
377	4033	1301
378	4045	1291
379	4057	1281
380	4074	1272
381	4089	1263
382	4101	1252
383	4111	1241
384	4120	1230
385	4133	1220
386	4145	1210
387	4160	1200
388	4175	1191
389	4187	1181
390	4198	1170
391	4210	1160
392	4224	1150
393	4236	1139
394	4245	1128
395	4259	1118
396	4270	1108
397	4284	1098
398	4300	1088
399	4313	1078
400	4329	1068
401	4340	1058
402	4353	1047
403	4367	1037
404	4382	1027
405	4394	1017
406	4403	1006
407	4415	995
408	4428	985
409	4445	975
410	4456	965
411	4467	954
412	4479	943
413	4490	932
414	4499	921
415	4510	910
416	4522	900
417	4532	889
418	4542	878
419	4555	867
420	4566	856
421	4579	846
422	4592	835
423	4603	825
424	4617	814
425	4629	804
426	4640	793
427	4649	782
428	4660	771
429	4669	760
430	4679	749
431	4689	738
432	4698	727
433	4707	715
434	4717	704
435	4726	693
436	4735	682
437	4744	671
438	4755	660
439	4765	649
440	4779	639
441	4792	628
442	4802	617
443	4814	607
444	4824	596
445	4837	585
446	4848	574
447	4859	564
448	4871	553
449	4883	542
450	4893	531
451	4903	520
452	4914	509
453	4926	499
454	4937	488
455	4946	477
456	4956	466
457	4965	455
458	4975	444
459	4985	433
460	4994	422
461	5003	411
462	5012	400
463	5021	389
464	5030	378
465	5039	367
466	5047	356
467	5057	345
468	5067	334
469	5076	324
470	5084	313
471	5094	302
472	5105	291
473	5116	280
474	5126	269
475	5135	258
476	5144	248
477	5153	237
478	5163	226
479	5173	215
480	5185	204
481	5201	194
482	5213	183
483	5225	172
484	5235	161
485	5245	151
486	5256	140
487	5267	129
488	5276	118
489	5286	107
490	5295	97
491	5306	86
492	5317	75
493	5327	64
494	5336	53
495	5346	43
496	5356	32
497	5366	21
498	5377	10
499	5388	0
