iter	Logloss
0	0.5966482961
1	0.5200440361
2	0.4515763961
3	0.3972065985
4	0.356924955
5	0.3135118148
6	0.2781679013
7	0.2446339515
8	0.2210926507
9	0.1945850703
10	0.1767731848
11	0.1599213383
12	0.1466541654
13	0.1315634422
14	0.1170687641
15	0.1084849722
16	0.09781526325
17	0.09192886233
18	0.08397754321
19	0.07679912839
20	0.07223442012
21	0.06480262726
22	0.06008014227
23	0.0544846056
24	0.05038605577
25	0.04783312326
26	0.04563030965
27	0.04202015199
28	0.04091551266
29	0.03860571164
30	0.03588009522
31	0.03406404809
32	0.03319315284
33	0.0310230427
34	0.02936017005
35	0.02849368001
36	0.02694867357
37	0.02541487459
38	0.02475050412
39	0.02420861904
40	0.0233939115
41	0.0224675894
42	0.02166438733
43	0.02091666647
44	0.01996006624
45	0.01920209826
46	0.01862628455
47	0.01765595541
48	0.01721975784
49	0.01667844187
50	0.01599350934
51	0.01569768809
52	0.01521013637
53	0.01492288907
54	0.01444916555
55	0.01400063096
56	0.01369544527
57	0.01338668808
58	0.01305525818
59	0.01266555672
60	0.01220678911
61	0.01194536479
62	0.01152895247
63	0.01114621753
64	0.0108491418
65	0.0105824026
66	0.01017630618
67	0.009955320764
68	0.009576925278
69	0.009197795312
70	0.008845417678
71	0.00866532944
72	0.008513549815
73	0.008309649035
74	0.008072219475
75	0.007882684952
76	0.007653695668
77	0.007513162255
78	0.00735033589
79	0.007176309071
80	0.007072094975
81	0.006850045138
82	0.006683666583
83	0.006629303176
84	0.006453447895
85	0.006352951808
86	0.006186889802
87	0.006082356823
88	0.005956218545
89	0.005815252863
90	0.005672706274
91	0.005587960652
92	0.005483376891
93	0.005361741697
94	0.005258447267
95	0.005211582337
96	0.005090853594
97	0.004951465486
98	0.004893946953
99	0.0047653152
100	0.004695466043
101	0.004612584553
102	0.004481313592
103	0.004339731783
104	0.004252633546
105	0.004211498794
106	0.00413431082
107	0.004067069937
108	0.004015331208
109	0.003985870983
110	0.003959721766
111	0.00391771603
112	0.003841021246
113	0.003775859454
114	0.003747689183
115	0.003693381284
116	0.003630995935
117	0.003558823436
118	0.003492014582
119	0.003459381708
120	0.003436285328
121	0.003378761268
122	0.003361299082
123	0.003297055702
124	0.003246748446
125	0.003157595965
126	0.003116900951
127	0.003071353498
128	0.003018605424
129	0.002966135565
130	0.002939118133
131	0.0029153508
132	0.002858542737
133	0.002838012395
134	0.002803219455
135	0.002788727132
136	0.002720564503
137	0.002674668028
138	0.002653974369
139	0.002603624646
140	0.00258819602
